QuizID,Question,Options,CorrectAnswers,NextQuizIDCorrect,NextQuizIDIncorrect,MediaName,explanationText,explanationImageName
V_1,クイズ1,Yes/No,1,,,lddBm_oaReI,,
V_2,クイズ2,Yes/No,1,,,PE86Yfd_FLs,,
V_3,クイズ3,Yes/No,1,,,Dn69INQf9rU,,
V_4,クイズ4,Yes/No,1,,,lddBm_oaReI,,
V_5,クイズ5,Yes/No,1,,,PE86Yfd_FLs,,
V_6,クイズ6,Yes/No,1,,,Dn69INQf9rU,,
V_7,クイズ7,Yes/No,1,,,lddBm_oaReI,,
V_8,クイズ8,Yes/No,1,,,PE86Yfd_FLs,,
V_9,クイズ9,Yes/No,1,,,Dn69INQf9rU,,
V_10,クイズ10,Yes/No,1,,,lddBm_oaReI,,
V_11,クイズ11,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,PE86Yfd_FLs,,
V_12,クイズ12,Yes/No,1,,,Dn69INQf9rU,,
V_13,クイズ13,Yes/No,1,,,lddBm_oaReI,,
V_14,クイズ14,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,PE86Yfd_FLs,,
V_15,クイズ15,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,Dn69INQf9rU,,
V_16,クイズ16,Yes/No,1,,,lddBm_oaReI,,
V_17,クイズ17,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,PE86Yfd_FLs,,
V_18,クイズ18,Yes/No,1,,,Dn69INQf9rU,,
V_19,クイズ19,Yes/No,1,,,lddBm_oaReI,,
V_20,クイズ20,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,PE86Yfd_FLs,,
V_21,クイズ21,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,Dn69INQf9rU,,
V_22,クイズ22,Yes/No,1,,,lddBm_oaReI,,
V_23,クイズ23,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,PE86Yfd_FLs,,
V_24,クイズ24,Yes/No,1,,,Dn69INQf9rU,,
V_25,クイズ25,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,lddBm_oaReI,,
V_26,クイズ26,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,PE86Yfd_FLs,,
V_27,クイズ27,Yes/No,1,,,Dn69INQf9rU,,
V_28,クイズ28,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,lddBm_oaReI,,
V_29,クイズ29,Yes/No,1,,,PE86Yfd_FLs,,
V_30,クイズ30,Yes/No,1,,,Dn69INQf9rU,,
V_31,クイズ31,Yes/No,1,,,lddBm_oaReI,,
V_32,クイズ32,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,PE86Yfd_FLs,,
V_33,クイズ33,Yes/No,1,,,Dn69INQf9rU,,
V_34,クイズ34,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,lddBm_oaReI,,
V_35,クイズ35,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,PE86Yfd_FLs,,
V_36,クイズ36,Yes/No,1,,,Dn69INQf9rU,,
V_37,クイズ37,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,lddBm_oaReI,,
V_38,クイズ38,Yes/No,1,,,PE86Yfd_FLs,,
V_39,クイズ39,Yes/No,1,,,Dn69INQf9rU,,
V_40,クイズ40,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,lddBm_oaReI,,
V_41,クイズ41,Yes/No,1,,,PE86Yfd_FLs,,
V_42,クイズ42,患者に触れる前/無菌操作の前/体液に曝露された可能性のある場合/患者に触れた後/患者周辺の物品に触れた後,1,,,Dn69INQf9rU,,
